title,age,gender,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
24,49,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
55,49,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
17,49,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2,31,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,31,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,31,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,28,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
44,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
88,28,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
87,28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7,25,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
50,25,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
84,45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
27,43,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
82,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
59,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,43,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
92,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
97,43,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
87,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
84,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
36,51,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27,51,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
82,51,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
59,51,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,51,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
3,51,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,51,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
50,51,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
44,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
92,51,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
